course_code,department,course_number,course_title,syllabus_link
AFRI 0130,AFRI,0130,This is America: Reimagining the American Saga,missing
AFRI 0410,AFRI,0410,After the Uprisings: Abolition and Black Studies,https://coursetools.brown.edu/syllabus/AFRI:0410:2023-Spring:S01
AFRI 0610,AFRI,0610,Black Student Protest from Jim Crow to the Present,https://coursetools.brown.edu/syllabus/AFRI:0610:2023-Spring:S01
AFRI 0807,AFRI,0807,"Racism, Segregation, Poverty and Public Education in the United States",https://coursetools.brown.edu/syllabus/AFRI:0807:2023-Spring:S01
AFRI 0990,AFRI,0990,Black Lavender: Black Gay/Lesbian Plays/Dramatic Constructions in the American Theatre,https://coursetools.brown.edu/syllabus/AFRI:0990:2023-Spring:S01
AFRI 1050L,AFRI,1050L,RPM Playwriting: Advanced and Staging,https://coursetools.brown.edu/syllabus/AFRI:1050L:2023-Spring:S01
AFRI 1075,AFRI,1075,"Providence Housing Ecosystem, Development, Displacement and Gentrification",https://coursetools.brown.edu/syllabus/AFRI:1075:2023-Spring:S01
AFRI 1145,AFRI,1145,The Black Hero,https://coursetools.brown.edu/syllabus/AFRI:1145:2023-Spring:S01
AFRI 1150,AFRI,1150,Afro-Caribbean Philosophy,missing
AFRI 1330,AFRI,1330,Africana Studies Junior Seminar,https://coursetools.brown.edu/syllabus/AFRI:1330:2023-Spring:S01
AFRI 1360,AFRI,1360,"Africana Studies: Knowledge, Texts and Methodology",https://coursetools.brown.edu/syllabus/AFRI:1360:2023-Spring:S01
AFRI 2002,AFRI,2002,Theories of Africana Thought: Literary and Expressive Cultures,missing
AFRI 2005,AFRI,2005,"Monuments, Counter-Monuments, and the Representation of the Slave Past",https://coursetools.brown.edu/syllabus/AFRI:2005:2023-Spring:S01
AFRI 2015,AFRI,2015,Revolt and Revolution in the Black World,https://coursetools.brown.edu/syllabus/AFRI:2015:2023-Spring:S01
AFRI 2020,AFRI,2020,Afro-pessimism and Its Kin,https://coursetools.brown.edu/syllabus/AFRI:2020:2023-Spring:S01
AFRI 2300,AFRI,2300,"Black Critique: Black Critical Theory - History, Literature, Politics, the Human Sciences of Being",missing
AFRI 2970,AFRI,2970,Preliminary Examination Preparation,missing
AFRI 2990,AFRI,2990,Thesis Preparation,missing
AFRI XLIST,AFRI,XLIST,Courses of Interest to Concentrators in Africana Studies,https://coursetools.brown.edu/syllabus/AFRI:XLIST:2023-Spring:S01
AMST 0170E,AMST,0170E,Black to the Future: Race as Science Fiction,missing
AMST 0192K,AMST,0192K,Rethinking Sex: Critical Approaches to Compulsory Sexuality,https://coursetools.brown.edu/syllabus/AMST:0192K:2023-Spring:S01
AMST 0192P,AMST,0192P,Black Internationalism,https://coursetools.brown.edu/syllabus/AMST:0192P:2023-Spring:S01
